Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Site3-1_S544_L001_R1_001	Site3-1_S544_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	251.0	50.0	75.0	251.0	251	pass	pass		pass	fail	fail	pass	pass	pass	fail	fail
Site3-1_S544_L001_R2_001	Site3-1_S544_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	0.0	251.0	49.0	50.0	251.0	251	pass	pass		pass	fail	fail	pass	pass	warn	fail	fail
Site3-2_S545_L001_R1_001	Site3-2_S545_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	236331.0	0.0	251.0	48.0	2.148681298687011	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site3-2_S545_L001_R2_001	Site3-2_S545_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	236331.0	0.0	251.0	46.0	2.7076430937964124	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site3-3_S546_L001_R1_001	Site3-3_S546_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131230.0	0.0	251.0	48.0	5.30747542482664	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site4-1_S547_L001_R1_001	Site4-1_S547_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142760.0	0.0	251.0	50.0	3.493975903614458	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site4-1_S547_L001_R2_001	Site4-1_S547_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142760.0	0.0	251.0	50.0	3.963295040627627	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site4-2_S548_L001_R2_001	Site4-2_S548_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22622.0	0.0	251.0	49.0	5.313411723101406	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site4-3_S549_L001_R1_001	Site4-3_S549_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	389096.0	0.0	251.0	50.0	2.7872298867117626	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Site4-3_S549_L001_R2_001	Site4-3_S549_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	389096.0	0.0	251.0	49.0	2.3809034274317904	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
XB_S550_L001_R1_001	XB_S550_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13585.0	0.0	251.0	63.0	4.063305115936695	251.0	251	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
XB_S550_L001_R2_001	XB_S550_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13585.0	0.0	251.0	62.0	3.8056680161943324	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
