ASV_ID	arc_eval	bac_eval	euk_eval	mito_eval	eval_method
00bf1256d449ae9a07d1ca1580810c36	8.2e-35	1.1e-61	NA	NA	barrnap:0.9
00c12e7cbe41e799b1a93333acf08452	8.4e-28	7.9e-54	NA	NA	barrnap:0.9
00ccd6220093d136e354a17ce0a4c2e1	6.2e-33	4.4e-54	NA	NA	barrnap:0.9
00de26102c7420543966e23b9d225142	1.9e-32	9e-59	NA	NA	barrnap:0.9
00e0372721fc972efe8650851273f89e	5.1e-30	5.1e-47	NA	NA	barrnap:0.9
00f3b0f4bcc82190e1fe386da75633e9	7.7e-33	1.3e-52	NA	NA	barrnap:0.9
011ca249b3ad586c4ebecf3ee3f75851	3.9e-33	7.4e-60	NA	NA	barrnap:0.9
012601dfada4aa0d9c5a239e7d41890c	6.2e-30	7.5e-59	NA	NA	barrnap:0.9
0134207111a659b9284f9005e4cf02b5	3.3e-29	1.3e-49	NA	NA	barrnap:0.9
01363f747bd537756ff28406716cf389	2.3e-31	1.7e-52	NA	NA	barrnap:0.9
0138171f48ce8c9002395d37beceab5e	1.4e-31	6.9e-53	NA	NA	barrnap:0.9
0139d8dd00054bd3e3b20344edf3def9	3.2e-35	2.9e-57	NA	NA	barrnap:0.9
0146fd4034aa4af34687049712afabbd	2.8e-31	1.3e-48	NA	NA	barrnap:0.9
0155603fc099bf2291bfffe761dbd3a0	9.8e-33	2.9e-60	NA	NA	barrnap:0.9
0159ed5dafb283efda10b0918e497283	7.5e-32	6.9e-52	NA	NA	barrnap:0.9
015c270fdaafe81e49c47de7cfb46d0c	7.4e-19	5e-39	NA	NA	barrnap:0.9
015c5295328ce9e2a223f3c39871437d	5.4e-35	1.6e-61	NA	NA	barrnap:0.9
0170a0dfa72362b326bee4ae4f07e7fb	6.2e-30	4.5e-55	NA	NA	barrnap:0.9
018905f7e9331b2b5fa689a1ff7133b8	9.2e-30	1.9e-54	NA	NA	barrnap:0.9
018dd19612252e3b87f29d621fa84f6e	7.7e-32	1.8e-50	NA	NA	barrnap:0.9
0195290e258b1f77e9416db6a7774c92	1.4e-29	4.2e-56	NA	NA	barrnap:0.9
0198a1409647df36739d66cfc98e4dd3	4.1e-34	6.5e-56	NA	NA	barrnap:0.9
019e2f2cdbccfe941d8f90c075b45593	8.1e-27	2.5e-54	NA	NA	barrnap:0.9
01aa646cd50b10262d9079c8b9976347	1.5e-34	1.7e-53	NA	NA	barrnap:0.9
01b0e1452570da385011a021ff50e4ac	3.7e-33	2.7e-45	NA	NA	barrnap:0.9
01b1320972686d3bc41a61360b22a7d5	6.4e-33	1.5e-48	NA	NA	barrnap:0.9
01c3a9a96b1674b23a55211b21452ee2	3.5e-33	2.7e-57	NA	NA	barrnap:0.9
01d0b75137223bfa27f605dba4f49c68	5.4e-31	7e-53	NA	NA	barrnap:0.9
01d1f1081f43a34e89bfc043140486a5	1.1e-30	3.4e-56	NA	NA	barrnap:0.9
01efc80ffc187165afd0754d75b8113a	6.2e-36	4.3e-55	NA	NA	barrnap:0.9
01f4f05d07ae77fe35a23b008855631b	1.2e-32	1.6e-49	NA	NA	barrnap:0.9
01fb29b078d3aefa458627587134de40	5.6e-35	8.2e-53	NA	NA	barrnap:0.9
0210f02beac8e21b2c6e6c7f3b8df3b0	8.6e-30	7.6e-57	NA	NA	barrnap:0.9
0225acb95c76098fe86cffd6f9495bbf	3.5e-35	3.7e-54	NA	NA	barrnap:0.9
022f7a57dca443c7ee00a8f53129f114	5.5e-30	1.5e-56	NA	NA	barrnap:0.9
023a4a30a4770bf6a02659cd625dce78	4e-34	6.8e-58	NA	NA	barrnap:0.9
023c5903cacbd14edddde2cbb51c9558	5.2e-31	2.7e-57	NA	NA	barrnap:0.9
02437ecd66dcf3104de79ddda827a138	4.3e-34	2e-55	NA	NA	barrnap:0.9
0244b24d5afad64b0618cefd6c3119b6	5.1e-25	1.4e-44	NA	NA	barrnap:0.9
0248154a734ed43484744221f0a877db	9.8e-27	5.9e-53	NA	NA	barrnap:0.9
02527b6885744a0d07e78333fc97ef40	3.2e-30	1.8e-47	NA	NA	barrnap:0.9
02626cf55a7405557e9aaaef73837bc5	8.2e-30	1.8e-53	NA	NA	barrnap:0.9
02664e5406ac880d05e5aacd6ea9ef1e	4.8e-30	3.5e-47	NA	NA	barrnap:0.9
026d06efd45cadadab726d143ef229a9	1.1e-28	2.1e-54	NA	NA	barrnap:0.9
02719ed54231ff8cf841e31af3fa8bef	1.3e-30	1.6e-47	NA	NA	barrnap:0.9
0272790ff1c1463199cc6fae2780b552	1.8e-30	3.6e-46	NA	NA	barrnap:0.9
02817bc22ee51e2d0f39c72574a466e7	2.4e-33	2.7e-53	NA	NA	barrnap:0.9
028a9ecbdb9d9ee6bd933bd388eb6903	3.5e-24	7.9e-49	NA	NA	barrnap:0.9
028bb23fc1c48d91ed1f9eb65ba73b88	3.8e-30	2.4e-58	NA	NA	barrnap:0.9
028daad0cbabdf2efa699b031fd908d8	1e-34	1.2e-54	NA	NA	barrnap:0.9
02903e4710b24d00063848e1ce90e278	6.1e-30	5e-52	NA	NA	barrnap:0.9
02919159a929eeb448548731f37dfba2	7.8e-28	7.4e-50	NA	NA	barrnap:0.9
029e0e14d658dd98121d7ed5b0150972	8.2e-33	1.2e-59	NA	NA	barrnap:0.9
02a54ddb22962db44b997420818e2d33	1.7e-31	5e-59	NA	NA	barrnap:0.9
02b2446fc52d806b0330425bcfa4c5df	1.8e-32	5e-58	NA	NA	barrnap:0.9
02c1c96543f6f94e1e0e2b98ef0fee73	2.4e-33	9.4e-50	NA	NA	barrnap:0.9
02c91fa4cb318bf170cc61b9bc565720	2e-33	7.3e-55	NA	NA	barrnap:0.9
02dd1a5542b43f28a70aea85469c7ddf	2.1e-32	6.5e-48	NA	NA	barrnap:0.9
02df7ff28cead4269a7450e8fb17e105	2.5e-32	1.5e-50	NA	NA	barrnap:0.9
030610e4f992dd0177f2a50eecee9eb5	1.5e-30	4.7e-51	NA	NA	barrnap:0.9
03080bd24220a9b595294b8ed026a6a5	3.8e-28	4.7e-47	NA	NA	barrnap:0.9
030a09112027fc5b1503245acf46454c	1.1e-36	3.1e-52	NA	NA	barrnap:0.9
030a57396320c968b4af5fc56881adb5	2.1e-31	1.9e-57	NA	NA	barrnap:0.9
030dd6dfbc8315635eee4855d1d5825c	9.6e-32	7.3e-55	NA	NA	barrnap:0.9
0320512a4594ecc94237fc31da2a0654	6.4e-30	3.5e-49	NA	NA	barrnap:0.9
032457e71b72906997cc471ad703aee1	3e-30	2.3e-49	NA	NA	barrnap:0.9
032ca89228e5a263de72e5caf02079f0	2.4e-37	4.2e-50	NA	NA	barrnap:0.9
0331404ea55e94e6fe2da0ac7bfbdaed	2.4e-36	1.7e-53	NA	NA	barrnap:0.9
033bd91e0ede5fcf94c7344a7236d0c0	3.1e-35	3e-50	NA	NA	barrnap:0.9
034f0a32109a64a7df0c08c94f043c1b	8.1e-34	2.2e-48	NA	NA	barrnap:0.9
03618de2ab72b8907d9ee3a30e717bab	3e-27	3e-49	NA	NA	barrnap:0.9
03649fa3be0e253db09899766c918613	3.7e-34	3.5e-54	NA	NA	barrnap:0.9
036e615ae3f44d37d3fbe1643f02e83a	1e-30	4e-52	NA	NA	barrnap:0.9
037fb916cbd37f86fd3efad426b7713e	1e-32	7.3e-53	NA	NA	barrnap:0.9
0388d2657473281bf15822d6a2403599	1e-34	7e-58	NA	NA	barrnap:0.9
0391a4c74f0360994c255a81bbe96a69	1.3e-29	1.9e-49	NA	NA	barrnap:0.9
039ff4fbdc46cfca9cb940c7bac54198	4.1e-30	7.8e-52	NA	NA	barrnap:0.9
03a1e5f79ad893017426fb68d566ff99	7.1e-32	3.9e-50	NA	NA	barrnap:0.9
03a405663c98ce146935c5aebee5cfcd	5.9e-33	2.4e-57	NA	NA	barrnap:0.9
03b4d55c8d18ede5ebb8e07929f079ee	2.3e-31	2.9e-50	NA	NA	barrnap:0.9
03bd9583065748c1d5f016305e8b15b9	2e-34	2e-50	NA	NA	barrnap:0.9
03c0f8c19c2f99fce68ad7aac05e12a6	1.7e-27	1.2e-54	NA	NA	barrnap:0.9
03cbec1745663ebccfeba408a4a5f02f	8.4e-29	5.5e-51	NA	NA	barrnap:0.9
03e0f09803da414c1f1395c4e7aecaab	2.7e-32	4e-54	NA	NA	barrnap:0.9
03e56f847e887a5a5a2e8be0a4158d49	8.5e-27	1.5e-53	NA	NA	barrnap:0.9
03e99a557a2dfdf0633d83503929cf13	3.9e-29	2.9e-52	NA	NA	barrnap:0.9
03f503c2772f6e9fb8954e996e0bae9c	5.3e-30	6.4e-54	NA	NA	barrnap:0.9
03f994617ec797aaa8300d933fca7aaf	4.9e-30	9.6e-56	NA	NA	barrnap:0.9
040305911e488d1580e147fb98615064	1.1e-34	6.1e-58	NA	NA	barrnap:0.9
04121885ebb64a4fc74bad1e4c0f785a	4e-33	2.8e-55	NA	NA	barrnap:0.9
04191b85eed9cca4c2e8ca56be645741	1.6e-27	1.7e-57	NA	NA	barrnap:0.9
041beed2d37cd6b2ebf6c4ae91266b53	2.6e-33	6.5e-54	NA	NA	barrnap:0.9
04246d769763fb453280231e3454b9e0	1.5e-30	8.4e-55	NA	NA	barrnap:0.9
043411513c7946cbf9b8e13b4e60aca6	4.7e-14	2.1e-23	NA	NA	barrnap:0.9
0435883acd607523635bbbf9e32d1584	2.4e-25	8.2e-52	NA	NA	barrnap:0.9
0448ffe3e22ebb5a9fd1016458d2fdad	2.1e-30	1.7e-46	NA	NA	barrnap:0.9
04497a045743818e4db68493b51e0ec8	4.4e-34	8.5e-55	NA	NA	barrnap:0.9
0452847850e05e09a4557167c81c5824	2.9e-25	1.7e-52	NA	NA	barrnap:0.9
045578cd4579f50bf94406bd4fd7b829	1.8e-29	3.1e-58	NA	NA	barrnap:0.9
0457b4fe6acf775c5887112ec3e0343d	1.7e-32	9.4e-54	NA	NA	barrnap:0.9
0465c923f23b4b5af756f4e05794ed40	2.1e-32	1.1e-56	NA	NA	barrnap:0.9
046b3610aa94e9a9fd17c35f3e3bf8a7	1.7e-32	9.3e-54	NA	NA	barrnap:0.9
047e530b1a78f425fa53cb9001c8e4e3	1.1e-30	3.8e-57	NA	NA	barrnap:0.9
0488e022a176d931ab0b568fdca52435	2.3e-31	2.3e-46	NA	NA	barrnap:0.9
048cbfbca197f05b0f2fd57b1b9b8641	5.2e-36	2.8e-59	NA	NA	barrnap:0.9
0493252416ee1063597b8f0c583e1c57	1.2e-25	9.8e-53	NA	NA	barrnap:0.9
0493c2d477f0ff1e43c6d89a4a51b5ce	1.1e-29	1.2e-50	NA	NA	barrnap:0.9
04a171da55c97700ca198990c03aff77	2.4e-30	7.5e-58	NA	NA	barrnap:0.9
04a6446e91df1db62edeeb4d9b62c5f3	6.2e-32	7.2e-53	NA	NA	barrnap:0.9
04a812460a894e4d49865c2fa6d34441	1.4e-31	1.1e-55	NA	NA	barrnap:0.9
04aef4ec22d34bf77be8640f089d8afd	9.2e-34	2.3e-54	NA	NA	barrnap:0.9
04b0b4461a4673fb7ee23c0c67bc47a6	4.4e-33	1.1e-53	NA	NA	barrnap:0.9
04ba8b3ea75e5dd7b0d672a65bc0ef1c	4.4e-25	2e-53	NA	NA	barrnap:0.9
04c11c39a418d6b6d4566f1fbdb4c64e	1.4e-36	3.5e-59	NA	NA	barrnap:0.9
04c295c11e5d76b02fc26611905dbdff	1.4e-32	4e-56	NA	NA	barrnap:0.9
04c80d8c37f239b9da4050509a129a14	3.3e-30	3.7e-48	NA	NA	barrnap:0.9
04ca31e5d450baf6879c92eea17f05b7	6.7e-35	2.6e-48	NA	NA	barrnap:0.9
04d27f28d55da29ec035f8c8eaff1aae	5.5e-30	6.9e-57	NA	NA	barrnap:0.9
04d8da2c505679e16ecd77a285cc8537	6.9e-32	4.7e-50	NA	NA	barrnap:0.9
04dd2016198d2215b5cfa930ad887c5b	1.4e-28	1.1e-50	NA	NA	barrnap:0.9
04f8139689f32eb7f965b9fad9bf6629	3.7e-33	6.2e-50	NA	NA	barrnap:0.9
05016d325153786c6aa2c2b65f9fa567	2.6e-30	1.9e-58	NA	NA	barrnap:0.9
05033d0db9c3afa0192a9bafc0583120	4.7e-33	5.5e-53	NA	NA	barrnap:0.9
051b9f376322921b5acbb9af7d9cf7e7	1.4e-31	1.5e-52	NA	NA	barrnap:0.9
05232fb2971fd17f2f11fc0857f39a86	3.4e-33	1.2e-53	NA	NA	barrnap:0.9
05287ad9b1a4d7bd6bedd1585b49705e	1.1e-26	2.2e-56	NA	NA	barrnap:0.9
0528fd8a7ff43da2a875654fd24991da	1.1e-34	9.7e-51	NA	NA	barrnap:0.9
053c323ec6356a39ca186649d6864f4d	1.1e-33	1.5e-50	NA	NA	barrnap:0.9
0542544188f75d0702b92fd1033be8b4	1.5e-31	2e-51	NA	NA	barrnap:0.9
054c13eb9c1e4e5d4a61732c8853fe9c	3.5e-31	6.7e-55	NA	NA	barrnap:0.9
054cc0f12e37912af18b69aed08c6fa1	2.7e-33	2.5e-47	NA	NA	barrnap:0.9
054f8b38095bbf6d72bfa6fc8d7e8dc6	6.3e-32	6.2e-49	NA	NA	barrnap:0.9
05602452083787fb4b2d2ab0ea43700c	4.8e-35	2.9e-59	NA	NA	barrnap:0.9
05664b28d699033cfd2d67342f2b4b9c	4.2e-32	4.7e-56	NA	NA	barrnap:0.9
05665d4a065a97833969430bcc58ede9	1.8e-32	1.9e-50	NA	NA	barrnap:0.9
0567aaf2f386b587b626a36b738988a2	3.2e-25	7.2e-46	NA	NA	barrnap:0.9
058e8daf41c673e3b8cdcfa6cbc99c49	8.1e-35	3.4e-51	NA	NA	barrnap:0.9
0593ff7f292e2bacdf7b51b53d72753e	1.2e-28	2.2e-57	NA	NA	barrnap:0.9
0596801b2dab5c4920d96f967a21c2b9	1.3e-32	2.6e-54	NA	NA	barrnap:0.9
05a7ad9ceb6985e7d2bd90d4033e7f3c	4.5e-33	1.9e-54	NA	NA	barrnap:0.9
05a85b9dc62a3596004026b50d5d8fc7	4.7e-33	7e-54	NA	NA	barrnap:0.9
05aeca6cf59cbd3890c9642d11112b49	8.8e-32	8.8e-48	NA	NA	barrnap:0.9
05b159ce00248b5ccac8b4041106b552	1.6e-27	3.5e-53	NA	NA	barrnap:0.9
05bd75e0053744b13b9cb243025d0feb	1.1e-32	7.2e-54	NA	NA	barrnap:0.9
05c660819fc7439239f332a77a944ec5	2.9e-30	2.2e-53	NA	NA	barrnap:0.9
05ce02d1c52a940ceb95194ab474fc3d	3.6e-31	1.8e-50	NA	NA	barrnap:0.9
05d124b7e3e83ab6504c4cedfb69262c	4.2e-09	1.4e-28	NA	NA	barrnap:0.9
05e03ca4e5cd148e170e6a00381e5cef	5.9e-34	7.8e-54	NA	NA	barrnap:0.9
05e59687325dadb671a5c9c311d10ebe	1.9e-31	1.1e-48	NA	NA	barrnap:0.9
05f2404a994d1a060b6c09dfbc27c4b8	1.1e-32	1.8e-57	NA	NA	barrnap:0.9
05f98fe07d3c7a44c12f345f072e93c4	2.9e-31	4.7e-53	NA	NA	barrnap:0.9
05fdc7cdc4cff90765dddcbc7f49b8d8	3.2e-31	1.2e-47	NA	NA	barrnap:0.9
0601848e0a7a57629c351d822762e4a0	2.3e-29	7.9e-51	NA	NA	barrnap:0.9
0602c476910c12ff72c2c4bd4c7d887e	2.2e-32	4.5e-58	NA	NA	barrnap:0.9
0609702cccba439809cf90f40f98c421	9.9e-32	6.3e-47	NA	NA	barrnap:0.9
0611351b94b401dc64abce4973da9ec2	4e-36	3.2e-60	NA	NA	barrnap:0.9
061769214efb06eb41797075dca9b3e7	3.8e-33	3.7e-58	NA	NA	barrnap:0.9
061a0157c148fa075efb0e59a1f31fbb	2.3e-10	1.5e-30	NA	NA	barrnap:0.9
0634f6bbf4d9c58286d3567bb0743fb6	1.8e-30	1.1e-49	NA	NA	barrnap:0.9
0635e96be7b82053b1bb4fbfff1bbab6	1.9e-31	1.1e-53	NA	NA	barrnap:0.9
064072c60fd02cf41b6acfe4ac803f51	1.2e-30	4.5e-48	NA	NA	barrnap:0.9
0644bc1fecd29f24c6ab4a9943e211cc	3.7e-31	1e-48	NA	NA	barrnap:0.9
064a268c00c32d2389b17551b2695ec7	1.2e-27	2.4e-49	NA	NA	barrnap:0.9
06819654a19ffa32e3721cffe844063a	3.6e-34	5.3e-54	NA	NA	barrnap:0.9
068da524163bc0774aa22e2e6d93c6c0	1.7e-31	1.1e-55	NA	NA	barrnap:0.9
069669e6a3cb9b08ead6acd1fc4c256d	1.7e-30	3e-54	NA	NA	barrnap:0.9
069bf142162993645e19030af546386d	6.3e-31	2.3e-50	NA	NA	barrnap:0.9
06da0385fe2710a7f100983b5a3f3b24	3.9e-33	5.8e-51	NA	NA	barrnap:0.9
06dca1559066346f46808eb07bc56298	2e-09	2.6e-27	NA	NA	barrnap:0.9
06f511956d56db9dd1dd5da13ebd69b3	1.2e-31	1.1e-44	NA	NA	barrnap:0.9
06f8cba3a7746cef49a7734d090698ef	1.1e-30	3.6e-49	NA	NA	barrnap:0.9
06fe4e253d0d79261636a8ec65d5b1e3	4.7e-28	2.5e-54	NA	NA	barrnap:0.9
07036ae877d215d70d4fff8ec938a553	8.3e-31	7.9e-53	NA	NA	barrnap:0.9
070b99091556da3c885a9c16be76e491	9.3e-31	9.6e-52	NA	NA	barrnap:0.9
071c95dc6b27f928c70313fb7a473b62	1.4e-35	7.8e-49	NA	NA	barrnap:0.9
071d08dd5cd766c6f9c4e25d99ea5aa3	2.9e-34	3.7e-55	NA	NA	barrnap:0.9
07231ac57b56de2d9611ef3541668e51	3.1e-23	1.5e-48	NA	NA	barrnap:0.9
0728ddcdb8b96cba2add85e7f7b2336e	2.7e-29	1e-46	NA	NA	barrnap:0.9
07330a6fa4563665027df21baaa40198	3.4e-34	3.9e-57	NA	NA	barrnap:0.9
07414ac653717b49d01acfca2bdef655	4.3e-32	2.2e-51	NA	NA	barrnap:0.9
074243108eb069b95912b4ff80e075b3	1.9e-31	1.8e-53	NA	NA	barrnap:0.9
0745be46a4f37a0bde9a72e3ec66a7f5	5.5e-32	8.6e-52	NA	NA	barrnap:0.9
0749e4f7cce391b956ca000bee0a9d6c	2.3e-27	1.6e-47	NA	NA	barrnap:0.9
074b8a9b0a58830dde3dc81514a3151f	7.7e-33	2.4e-52	NA	NA	barrnap:0.9
074ce11424fbed4ba4e0e96c3e9d0e05	1.2e-32	1.2e-50	NA	NA	barrnap:0.9
0752116a01bc2133d8f4538082c1985c	1.4e-31	3e-48	NA	NA	barrnap:0.9
0753397c7f98e33c140385da712597c4	1.5e-33	2e-59	NA	NA	barrnap:0.9
076624e0e1500ac43f0372576a143900	9.3e-33	7.5e-58	NA	NA	barrnap:0.9
07694082390bc145954a448ef0ffbc2e	1.7e-31	1.1e-53	NA	NA	barrnap:0.9
077001c35eb58723319b5a7ae6508c3e	4.3e-33	1.6e-59	NA	NA	barrnap:0.9
07709b01ebde978d5ad7fece57e92195	1.8e-24	4e-52	NA	NA	barrnap:0.9
0775347309cdced9448024f9c0b9ca0a	4.3e-34	1.2e-60	NA	NA	barrnap:0.9
07783d2bacc9917ffc75b5c852231539	3.1e-28	1.8e-51	NA	NA	barrnap:0.9
077b059ee4f60860644b3814ebe0d064	1.9e-29	3.1e-58	NA	NA	barrnap:0.9
07a00a97267450189fee16c064d5827a	7.9e-27	1.1e-54	NA	NA	barrnap:0.9
07b1d2c7fe2fe3f4597e56c1188d5fe7	1.4e-29	1.4e-50	NA	NA	barrnap:0.9
07b585ee491e0ecccee2cde8ac519644	3.7e-24	3.2e-50	NA	NA	barrnap:0.9
07d9bc9a40e1caa95685fce284c3e7af	1.3e-31	5e-53	NA	NA	barrnap:0.9
07e1c021ebe43f5bbe05379a579a4cd4	9.7e-37	2.4e-58	NA	NA	barrnap:0.9
07e228debcd994f91dd9041a2b824e0c	2.2e-30	3.6e-59	NA	NA	barrnap:0.9
07e43fbbbc8da016b45d882d183c54d2	2.8e-31	9.6e-54	NA	NA	barrnap:0.9
07f2e5b4ddfd1cb6bcfe78d22c70ed77	2.3e-34	1e-54	NA	NA	barrnap:0.9
07fbe94fde35780cdbe7b0e728633939	1.9e-34	1.6e-53	NA	NA	barrnap:0.9
080b34dd0a674e9a9317fa048d3bec49	1.1e-29	1.8e-51	NA	NA	barrnap:0.9
0811ddd33f19207b0c0e136d0897dfc1	1.7e-31	5.8e-50	NA	NA	barrnap:0.9
0820e8d284ff1168a553336dcdff6043	5.7e-31	7e-54	NA	NA	barrnap:0.9
082dc1729956a247e560dfd4bd4ba08a	1.7e-33	2.8e-51	NA	NA	barrnap:0.9
083572625e42f43a26b3c5a10e4b0b13	8.7e-28	1.8e-47	NA	NA	barrnap:0.9
08393d5768fbf849bf57fe74d7f91ee0	2e-32	4.5e-52	NA	NA	barrnap:0.9
08476de57c0988b91f715c0b90c3b3fc	1.3e-27	2e-47	NA	NA	barrnap:0.9
084a140766bc2e2ac7e2ec378bc94334	1.6e-31	4.9e-51	NA	NA	barrnap:0.9
084c59ffadd4562f8069737a50964c42	5.7e-32	9.9e-50	NA	NA	barrnap:0.9
08554aeb1a21b904ab9f8c1ade5b01bb	2.1e-28	3.5e-47	NA	NA	barrnap:0.9
085939ece6dfaac55579fa7955b34b4d	4.4e-26	2.9e-50	NA	NA	barrnap:0.9
085c2e826d539e3424f630dc4a02be6c	2.5e-28	2.4e-57	NA	NA	barrnap:0.9
08618b725f00a053d4b78ff31f91acdd	1.9e-28	3e-52	NA	NA	barrnap:0.9
0864357f4f3852bbb0b22e2c1d8f7c6c	9.9e-24	2.3e-49	NA	NA	barrnap:0.9
0869c8366649c2e6e9e25dbc8030db67	2.6e-32	2.8e-59	NA	NA	barrnap:0.9
0881d3f198ae1901f11e0e9c7c26cca9	6e-32	2.8e-51	NA	NA	barrnap:0.9
08917c9d1c43531a7b61648a9a3ad092	7.2e-13	3.9e-32	NA	NA	barrnap:0.9
08942ec6baeb8bbe912b1f620cb7915d	2.1e-31	1e-46	NA	NA	barrnap:0.9
08a04ba2ddfa2cf95a1e823691059c2e	2.4e-28	1e-47	NA	NA	barrnap:0.9
08a359b1beda7cba59e82179279f790a	8.4e-28	3.4e-51	NA	NA	barrnap:0.9
08a75bdd9925500c87bb738f753b9a48	1.3e-32	1.1e-51	NA	NA	barrnap:0.9
08b0312baed5ab4c0b986d1ebd1003fa	2.1e-32	9e-54	NA	NA	barrnap:0.9
08b4cd0b8178e9f724f68ab3c47e4010	8.3e-33	2.4e-57	NA	NA	barrnap:0.9
08b88d6ae21bbd36254f9d91c7a43adc	9.6e-29	8.7e-48	NA	NA	barrnap:0.9
08ba116f23f0aa89c12c537a6ea3cbaf	5.5e-26	4.3e-53	NA	NA	barrnap:0.9
08cad866044ec659ea447adfeb588a0e	2e-32	1.5e-57	NA	NA	barrnap:0.9
08d4cd73123a54aa43d98ead686348d6	7.7e-31	1.3e-49	NA	NA	barrnap:0.9
08dbf23f208e84ce225cdc53c5018d3c	2.7e-28	1.3e-46	NA	NA	barrnap:0.9
08dd7b10e795d2a8a68a0cf62c2e0bde	1.4e-29	3.3e-57	NA	NA	barrnap:0.9
08e1ca8a0752e6241e9612534ab1900c	5.3e-29	4.3e-54	NA	NA	barrnap:0.9
08eaad26d21a73dd767ef13c014543ab	1.6e-28	6.7e-54	NA	NA	barrnap:0.9
08ec62c86a513c92a702c0c48d443b03	2.1e-33	8e-52	NA	NA	barrnap:0.9
08f41e39fa0df01ba5affbc4fa913724	4e-33	1.5e-53	NA	NA	barrnap:0.9
08f6c125504b9ba555e16af21992711d	4.4e-28	8.5e-56	NA	NA	barrnap:0.9
0909102511f046ca878afac08c3317aa	9.3e-34	4.4e-52	NA	NA	barrnap:0.9
092a763b99cc5a103cda94a000f75609	5.3e-34	6.7e-50	NA	NA	barrnap:0.9
092ca74579e7232ea326a8093eeeaae4	2.2e-30	1.5e-59	NA	NA	barrnap:0.9
092e65d75b5181c9533f72e986e9a994	1.3e-33	3.5e-53	NA	NA	barrnap:0.9
093595f0476e077e76244ba69ef1f357	3.4e-31	8.6e-58	NA	NA	barrnap:0.9
09402440ccae6d88e34c5862e4173bfe	3e-37	2.7e-60	NA	NA	barrnap:0.9
094e4156afdad900f12699c4fb3d3545	6e-34	8.7e-54	NA	NA	barrnap:0.9
09594c5344d02a2cbafa3262f606b2db	2.5e-31	5.8e-53	NA	NA	barrnap:0.9
095ab40801b986da147335648105af9a	7e-28	2.5e-49	NA	NA	barrnap:0.9
095cad7671e431fd89e6de1f437adc27	6.1e-30	9.6e-47	NA	NA	barrnap:0.9
096854583ab5a0be27295c3fd255423e	1.7e-31	9.8e-50	NA	NA	barrnap:0.9
0973ed442a54dcc4edb52d6f5b5144a6	1.4e-32	6.9e-59	NA	NA	barrnap:0.9
09789322d8d720d97db7f5363e4a4d99	2.1e-33	8e-54	NA	NA	barrnap:0.9
09839046e9d5dc8a42ffa46d5f78d711	2.6e-31	1.6e-53	NA	NA	barrnap:0.9
0985744cdc52628d2da7ceca56864fb6	1.2e-33	1.8e-55	NA	NA	barrnap:0.9
09864369d63178a83c1f8dd56d45d5a2	9.4e-31	2.9e-55	NA	NA	barrnap:0.9
098e397e5cb3c82aa4d7d007489d1ea4	5.1e-33	3.1e-53	NA	NA	barrnap:0.9
09a5da6bc4d33827fd26716a945f2d9a	1.4e-27	9.1e-47	NA	NA	barrnap:0.9
09b4787e787282c31353bae1ca6a38a7	1.5e-34	1.4e-56	NA	NA	barrnap:0.9
09b50c28a47e32f74797e4d13b8b7357	4.9e-34	1.5e-49	NA	NA	barrnap:0.9
